id,name,date,body
87254,ukdave2002,"Fri Sep 28, 2012 8:35 am","I thought exactly the same, so watched on line   it was dire, the director clearly unsure who his intended audience was.What was annoying is that they really didn't show any restoration, the engine work was glossed over with the statement that ""a piston was fixed"" , the body was taken back to bare metal (not a normal bodgers technique) but we didn't see  how they tackled any of the body faults that must have been present in a 50 year old car   ok there was some tapping down of ""high's"" on the bonnet; staged for the camera, and we saw the filler applied, but was it an inch thick or just a few thou?. I suspect it was the latter as the body blokes turned out what (on the TV) looked pretty good; nice paint equal panel gaps, but the implication was that the body was ""full of filler""Why they made a program that went out of its way to seem to promote bodging; not spent 5 quid on some metal and an hours labour on getting rid of the sunroof, why imply they were fitting secondhand, brake discs, exhaust components and shock's, why stage the phoney crash and make a big deal of surplus oil in the carbs, when they could have at least explained the original misfire...I think it should have been called ""Carry on Restoration"" then at least we could have laughed at it!Dave"
87255,MikeEdwards,"Fri Sep 28, 2012 10:38 am","I watched it last night, on a ""so bad it's good"" basis. Yes, the ""fixed a worn piston"" bit was interesting, just mentioned in passing, in fact I wonder if it was a brake piston and they just didn't mention that to make it sound more complicated. I also thought it might be a bit hard to have painted the inside of the bonnet red without removing either it or the engine, but I don't know E-types that well. I guess there's a chance the PO had done that, as it looked like he had started painting red around it.Would you use an angle grinder with a grinding disc to remove paint on an E-type? I wouldn't. No wonder they roughed the surface of the metal up so much.The crash bit was pathetic. An otherwise empty section of garage, strangely-voiced bloke (Alfa Romero? What's an Alfa Romero?) backs slowly into an engine that has no business being there, and it sticks a big dent in the lower quarter panel? No chance. Hard to see why it was much more than a small scrape in real life.I have trouble believing that second-hand brake disc was going anywhere near the E-type, and I was quite surprised we got as far as the first ad break and they still hadn't bought the car. Would even have been better if they'd stop assuming we have the memories of a goldfish and keep re-showing bits of the program we only watched ten minutes ago![/b]"
87257,Inglewood,"Fri Sep 28, 2012 10:59 am","I agree with all that has been said, really unsatisfying programme.I noted the car started off with California style bonnet mounted lights that had disappeared in the finished views. No mention if the vehicle had been through a SVA following re-import.The valuer did not appear to peruse any documents prior to putting a value on it. What was the value? Retail, Auction?? 4 weeks, 7 mechanics, Tweedle Dee & Tweedle Dum and they only made £10,000, not much of a business plan?Best get it back to California before it rusts and the P38 falls off like fish scales."
87259,ukdave2002,"Fri Sep 28, 2012 11:42 am","I think its worse than that; Cost of mechanics can't be any less than £200 per day, I think there were 4  of them?  for 4 weeks= £200*4*20(days)= £16,000. Cost of car £12,000, leaving £2k for all the parts, trim, paint, overheads etc...... I have assumed the 2 clowns were free Dave"
87273,47Jag,"Fri Sep 28, 2012 7:21 pm","When this thread started I thought the car in question was a Citroen C5    and I thought to myself ""that's not much of a classic"". Then I saw it was on last night and everything fell into place. Truly awful!! I don't think a 'properly' restored American spec. E-type 2+2 would fetch £30K. You do all realise that you could win this car?Art"
87274,gresham flyer,"Fri Sep 28, 2012 7:35 pm","They should have featured the car I have just worked on...A Rover P5B Coupe.It had been off the road for many years.It ran but the brakes were siezed and the bodywork corroded in all the P5`s vunerable area`s.I had it in the workshop for 15 day`s, I carried out the work and was assisted for 5 day`s by a mechanic friend .Work carried out ...New inner,middle and outer sills+ jacking points.New a posts.Front wings removed and inner wings repaired.New front wing bottom repair sections fitted.New D post`s inner and outer +associated metalwork repairs.Rear boot repairs to wheelarches and battery box area.New battery box.New rear valance and local repairs.Rear doors repaired.Area`s next to front windscreen repaired.Other frabrication repairs as required.The bodyshell is now as solid as a rock.My mechanic friend serviced the engine,gearbox,rear axle and changed all fluids.The braking system was completly renewed.Bottom ball joints replced (not a straight forward fix).I took it for it`s mot today and it passed first time.We carried out the work without any drama or theatrical scenes.Another Rover P5B saved from the banger boy`s.                                  Gresham Flyer"
87275,ukdave2002,"Fri Sep 28, 2012 7:54 pm","Yes but can you:Find a mate with a lorry load of spares that he will sell for £5Have a rouge engine lying around  that will be invisible until you hit it.Refurbish an engine for the cost of ""repairing a piston""Put a new sunroof in the P5 Spray the car in a different colourSpend 2 days looking at an exhaust for excess of carb damper oilOtherwise it just wont interest us :        Dave"
87342,Rick,"Mon Oct 01, 2012 10:16 am","A 911 gets ""the treatment"" tonight, no doubt the E-Type ""resto"" was just a blip, and the Porker will receive an accurately-described, top-notch job. Then again..  R"
87367,Roger-hatchy,"Mon Oct 01, 2012 2:40 pm",Well they might have some spares left over from the last *&^%$£ bodgit and scarper comedy.
87375,Rick,"Mon Oct 01, 2012 3:12 pm","No doubt they'll find a useable clutch assembly in a nearby lake that they can use, a set of tyres off an abandoned milk float, or perhaps some good s/h headlamp bulbs from a rusty Beetle that can be fixed up and used ""no bovva mate"".R"
87377,pigtin,"Mon Oct 01, 2012 3:27 pm",It's begining to sound like 'Scrapheap Challenge.'
87378,Doz,"Mon Oct 01, 2012 3:47 pm","What, you've already seen it...?"
87383,Rick,"Mon Oct 01, 2012 4:31 pm","What, you've already seen it...?"
87384,victor 101,"Mon Oct 01, 2012 5:42 pm","I started to watch it last week, but, like everyone here I thought it was rubbish, but I may watch it tonight for a different reason. Last week I thought I was going to watch a serious restoration program. This week I'm going to watch *spot the deliberate mistake* and see how many I can find."
87385,Rick,"Mon Oct 01, 2012 5:47 pm","Same here, it may be drivel at times, but at least I'm interested in the subject, unlike Corrie and the related frothy dross usually on the box.R"
87392,scott_budds,"Mon Oct 01, 2012 8:14 pm","The amount and content of the posts here are mirrored on the lotus forum I am often found on. Two points I would raise.1, Would anyone now buy any car from that used car dealer?2, Has anyone been onto a Jag forum to see what they think!!! I know its a Porsche next...but Tthere looks to be a Lotus Excel coming from the opening credits.Trouble is we along with so many other people are all talking about this pile of old....And I dare say having this hot cake on Channel 5's programming is a dream come true for them!Buddsy"
87396,pigtin,"Mon Oct 01, 2012 9:11 pm","OK I've just watched it. Only got halfway through last weeks, but this time I gritted my teeth and used the mute button liberally when the foul-mouthed cockney porker started shouting. I have now found what a distributor does, and cleaning the carbon off is all you have to do to fully service a Porsche engine.The commercial breaks were a blessed relief, and at least, now, I can't be accused of criticising something I haven't watched all the way through.I shall not be watching it again. Er, is the porker related in any way to Greg Wallace?"
87401,welshrover,"Mon Oct 01, 2012 10:12 pm","i liked the way he scraped the rotor arm with a something metal .i got my knuckles rapped when i worked in a garage by an old guy for doing the same thing .he said you dont rub anything metal on a rotor arm you use the sidewall of a tyre or something rubber as it takes metal off the rotor arm & alters the air gap in the distributer cap, dont f***in  do it again or youll get another he said,that was twenty odd years ago and i still use the side of a tyre to this day ."
87403,D4B,"Mon Oct 01, 2012 10:29 pm",They couldn't stretch to a NEW cap and rotor?probably the same reason they didn't change the oil.....I certainly don't want to win it anyhow
87409,Rick,"Tue Oct 02, 2012 7:44 am","I don't understand why they left that cheapo front bumper/spoiler thing on it, when they could have probably bought a proper one from the spares place. The colour was awful (compared to the original).Too much shouty-shouty for me, why couldn't it have been presented more like Grand Designs, rather than something off a children's channel?R"
87411,riley541,"Tue Oct 02, 2012 7:56 am","The previous week's programme was utter rubbish, why watch more of it? I didn't."
87417,MikeEdwards,"Tue Oct 02, 2012 10:36 am","Well, I learned a few things. Apparently Scimitars and Land Rovers are rubbish, and Morris Minors are rare. And 1977 911s have an ECU, and as long as there isn't any welding in a specific part of the bodywork (assessed by feel rather than, I don't know, perhaps actually looking at it) it cannot possibly be a cut and shut.And all through the cut-and-shut section, the ""holier than thou"" attitude about how if it is, we'll have to scrap it straight away, made me laugh. If you had to imagine the kind of people that might sell a cut-and-shut, and the kind of premises they might work from, well, I don't need to spell it out, do I?I didn't think program was as bad as the first, some of the historic footage was quite good if a little brief and speeded up. Perhaps we should have a whip-round for a new catch for that workshop door that they take it in turns to slam, but doesn't close properly so it doesn't make a bang."
87420,ukdave2002,"Tue Oct 02, 2012 11:04 am","Didn't watch it ....... I used to have a 911 of that era, they use a Capacitive Discharge ignition system, this requires all HT components to be in tip top condition otherwise misfires are common, HT leads, cap & rotor arm would be changed at least every 2 years, they weren't  expensive... cleaning the cap up is akin to putting tyre paint on a nearly bald tyre  Dave"
87443,simes205,"Tue Oct 02, 2012 6:32 pm","Shouty shouty shouty, although I managed to watch all of it this week rather than the week before.It makes Wheeler dealers seem half decent.It would be interesting to find out who wins the car!"
87448,riley541,"Tue Oct 02, 2012 6:47 pm","If it was you, would you admit to it?"
87450,simes205,"Tue Oct 02, 2012 7:09 pm","If it was you, would you admit to it?"
87451,Rick,"Tue Oct 02, 2012 7:12 pm","If it was you, would you admit to it?"
87458,BigJohn,"Tue Oct 02, 2012 8:37 pm","I Find that if I watch it as a comedy, a sort of The Muppet Show run a garage, it's very funny. BUT, If I regard it as any where near an informative motoring programme, I want to kick the T.V.Yea! Go Fozzy Bear and Animal."
87466,Inglewood,"Tue Oct 02, 2012 9:15 pm","I see that Bernie does not know the correct firing order, 1-5-3-6-2-4 is a typical straight-six but the Porsche flat six 3.3L is 1-6-2-4-3-5."
87476,gresham flyer,"Tue Oct 02, 2012 11:28 pm","I think the best of all these programmes either produced in the UK or in the USA was ""OVERHAULIN"".Chip Foose is a prolific car builder in his own right and a likable guy.The presenters Chris Jacobs and Courtney Hansen (later replaced by CJ) were very good as well.They added a bit of comedy into the format and who could not shed a tear when the car was exposed to the owner and all that american hugging went on (and that was just the guys).Even the rough tough car builders would all get emotional when hearing how pappa`s Chevy was now a memorial to his death.Ok about 60 people were involved in the rebuild of these vehicles each time but they did it for real and the finished job was spot on...I would love to own one of these vehicles they must be priceless.I understand the programme is returning this week 2nd Oct.I also like watching Chasing Classic Cars with Wayne Carini,a really enthusiastic sort of guy when it came to old automobiles. My name is Wayne Carini and I like chasing cars (as long as its not women said Mrs Carini) at least there is no spanner throwing and trantrums like some other programmes.As for Salvage Squad I liked Claire Barrett who went on to restore a watermill with her husband in real life,she was the sort of girl who liked to get DIRTY.!!!!                                          Gresham Flyer"
87491,pigtin,"Wed Oct 03, 2012 8:23 am",Ah! But is this also the case with the 1977 3.3 fitted with an ECU?
87496,MikeEdwards,"Wed Oct 03, 2012 10:34 am","Ooh, I withdraw my comments about ECUs. Looking at the original build thread: http://www.myporsche911.co.uk/upb/viewtopic.php?id=14&t_id=25&page=1 it seems it had a 3.2 transplant which has some kind of engine management system. Then it got painted with aerosols, which might be a clue about the blemishes on the roof."
87505,ukdave2002,"Wed Oct 03, 2012 5:19 pm","It would have had a 2.7l engine originally with the Boch K-tronic (electro-mechanical) fuel injection, the later 3.0l had the k-tronic until about 82/3 when the 3.2l engine was introduced,that I believe had an ECU.I thought the program was marginally better than the previous week, would have been better if the staged arguments had been cut, and the time spent on the repairs! at least this show did illustrate some techniques like the guide coat for picking up minor body defects.What I thought was interesting was the type of adverts during the breaks (assuming the online version has the same as the TV) which were for women s cloths, chocolate bars and breakfast cereal; not the sort of adverts one would expect for the average restorer ?  possibly this gives a clue to the target audience?Dave"
87581,Ellis,"Fri Oct 05, 2012 10:36 pm","I agree, but even Wheeler Dealers, staged and cliched as it is, shows you how to do things properly although the Mark 2 Jaguar programme last week was not one of their best.I used to enjoy American Hotrod with Boyd Coddington and company. I disagreed and cringed with what they did to original cars but I was fascinated with the restoration techniques they used. And, by heaven, they were thorough."
87627,Rick,"Sun Oct 07, 2012 10:04 am","I wonder if the same discerning team were behind this conversion of an old Silver Spirit, into a shiny new (slightly ripply) Phantom  http://www.ebay.co.uk/itm/1990-ROLLS-ROYCE-WHITE-PHANTOM-REPLICA-/110961236870RJ"
87671,baconsdozen,"Mon Oct 08, 2012 11:31 am",The porsche 'restoration' reminded me of some of the Red Green episodes.Only one is an intentional comedy but both are amusing.
87675,Rick,"Mon Oct 08, 2012 12:50 pm","An old MGB gets the ""treatment"" tonight, and following it on BBC4 is a programme about Brit sportscars following WW2 (not sure if it's a repeat or not?), and a repeat of the programme about Ford in Dagenham.RJ"
87676,riley541,"Mon Oct 08, 2012 1:04 pm",I shall be watching two of the three!
87677,Roger-hatchy,"Mon Oct 08, 2012 1:07 pm","Not watched it so far.A question: are the cars wrecks before the program, or after the program?Roger"
87686,welshrover,"Mon Oct 08, 2012 5:46 pm",god that is awful
87718,Rick,"Tue Oct 09, 2012 12:29 pm","Well the MGB is green and shiny now judging by last night's programme, converted from rubber to chrome bumpers, with the former type's high-set suspension remaining   The shed that the rusty B was bought from looked very interesting, best bit of the programme really.The BBC4 programme by contrast was very watchable I thought.RJ"
87722,Brian M,"Tue Oct 09, 2012 1:53 pm",I still have not managed to watch a whole episode of Classic Rescue for fear of putting something through the tv in frustration.  Last night got as far as the pantomime when they put the car on a two post lift and were surprised that the rotten outriggers collapsed.In contrast the programme on the British Sportscars was a delight.  Spoilt only by the use of pre-war factory shots that were meant to represent the production of the cars being discussed!
87741,welshrover,"Tue Oct 09, 2012 6:04 pm",the cut springs would help the axle to fall out. there was no spring eyes on either end of the springs
87744,pigtin,"Tue Oct 09, 2012 6:33 pm",I've already taken it off the 'record' list and don't intend to watch any more. Watching it would only encourage them and this sort of thing can have a detrimental effect on one's IQ.
87755,Churchill Johnson,"Tue Oct 09, 2012 10:12 pm","Not wishing to knock anyone who make's a comment on the rubbish that is shown on TV but when do the producer's take any notice, i myself have written several time's not e-m's but proper letter's to two different TV station's in the past and all i got was a reply to the effect that ""they were sorry i did not enjoy the programme and in the future they would take on board my complaint's'' of course they carried on as before, it's a captive audience, i am so happy that TV's are made with an on and off button."
87761,riley541,"Wed Oct 10, 2012 7:51 am",Not wishing to knock anyone who make's a comment on the rubbish that is shown on TV but when do the producer's take any notice...
87768,Journer,"Wed Oct 10, 2012 3:39 pm","For such a **** programme it certainly gets a lot of attention. Personally, I cant stand the amatuer dramatics and the forced anger but to each his own. I prefer Mike Brewer and big Ed, in my opinion they can do no wrong...lol"
87780,ukdave2002,"Thu Oct 11, 2012 7:21 am",Not wishing to knock anyone who make's a comment on the rubbish that is shown on TV but when do the producer's take any notice...
87781,riley541,"Thu Oct 11, 2012 7:59 am",Not wishing to knock anyone who make's a comment on the rubbish that is shown on TV but when do the producer's take any notice...
87824,peterwpg,"Fri Oct 12, 2012 2:48 pm","For all those who are blocked from viewing Channel  5,  The Discovery Channel will be airing the series staring on Monday 15th November.Following up on Riley's comment,  I promise not to buy anything that is advertised during the show."
87831,D4B,"Fri Oct 12, 2012 4:52 pm",I did stumble accross this again just as Bernie was spraying the MG with the rag left on the roof ~ by the time he was in the pub begging the painter to come back I switched over.....I promise never to stumble accross it again ~ simply dreadful
87841,47p2,"Fri Oct 12, 2012 9:21 pm",Just read this on another forum where someone wrote to Chanel 5 asking about the MGBGT...
87843,Rick,"Fri Oct 12, 2012 10:31 pm","Interesting stuff, I read elsewhere that there were certain differences between the car shown at the beginning, and the finished car. Who says the camera cannot tell fibs eh!? R"
87847,scott_budds,"Fri Oct 12, 2012 11:53 pm",Saw my first one tonight the MGBGT one. It was giving me heart palpitations watching it! The rear wheels fell off when the car was lifted on the lift. How come the transition wasn't connected?  But then the welded new brackets back on but it the underside was that rusty what were they welding too!Good news you could win this car...Im that unlucky if I entered I would probably end up wining it! arghhhhI just cant watch programmes like this.Buddsy
87854,Churchill Johnson,"Sat Oct 13, 2012 9:53 am",surely one cannot change a chassis from one car to another without using that car's registration number as this is what a reg is based on.
87869,MikeEdwards,"Sat Oct 13, 2012 5:58 pm","Never mind that, since when did an MGB GT have a separate chassis? It has a monocoque bodyshell, and I am pretty sure a new Heritage shell is a little bit more than £1000."
87876,Rick,"Sat Oct 13, 2012 8:16 pm","it justs get better the whole ""story"" doesn't it RJ"
87878,gresham flyer,"Sat Oct 13, 2012 9:33 pm","If classic car programmes are not correct in detail and how to carry out a proper restoration,how many other types of TV programmes are incorrect.Cookery,Financial,Gardening,Antique etc etc. Even radio 4 has its incorrect descriptions and detail when i have heard programmes about the motor car or the motorcycle,or another topic I am passionate about.I am sure these production companies can find better presenters.Even our old flower Ed China has a helping hand you know.....John Simpson from Practical Classics magazine was behind the scenes at last years NEC show.If we cannot produce a proper programme about old cars here in the UK then it is a sad old world.                                     Gresham Flyer"
87886,victor 101,"Sun Oct 14, 2012 8:10 am","I thought this guy Bernie was supposed to be a knowledgeable chap with 35 years in the trade, if his idea of checking a car for rust is jabbing a screwdriver in the inner wing or yanking a wing off so it hits the floor, its a wonder he hasn't had a smack in the mouth. Now that would make interesting viewing."
87982,peterwpg,"Tue Oct 16, 2012 4:55 pm","The Jag' programme infiltrated our shores this week, courtesy of the Discovery Channel,  AKA  as ""Discover the bad acting Channel""So I watched it and then penned this to them.HelloI heard about this programme from my fellow vehicle restorers in the UK.    It is nothing more than a fictitious piece of twaddle.Fake arguments,  ""staged""  accident,  and an even worse staged engine fault that produced exhaust smoke.Is  the discovery channel  producing a documentary  or a mediocre drama series ?There were statements on the show that are 100% inaccurate, but they are so inaccurate that they had to be scripted because there are supposedly skilled tradespeople working on this vehicle  who would never utter such garbage.Try a little internet research of the show because this poor quality production is not bringing your business any good reviews.No more to add.   I won't watch another"
87983,Rick,"Tue Oct 16, 2012 5:04 pm","Although staged like the rest of the programme, I find the opening 10 minutes or so, where the project cars are ""discovered"", to be moderately interesting. The rest I watch - sorry Riley541 - for amusement value only.RJ"
87984,ukdave2002,"Tue Oct 16, 2012 5:16 pm","Rick, Rick Rick...   ........Ok I do admit to watching a clip online at work but only whilst on a really dull conference call... they stripped the bonnet with a chemical stripper and a da sander..on the basis of this alone I would watch the rest of the program...but I suspect in the rest of the program there will be less restoration and loads of staged drama! Dave"
87985,Rick,"Tue Oct 16, 2012 5:51 pm","Rick, Rick Rick...   ........Ok I do admit to watching a clip online at work but only whilst on a really dull conference call... they stripped the bonnet with a chemical stripper and a da sander..on the basis of this alone I would watch the rest of the program...but I suspect in the rest of the program there will be less restoration and loads of staged drama! Dave"
88534,Rick,"Mon Oct 29, 2012 5:20 pm",There's a Top Gear Bond 007 special tonight at 9pm on BBC2 (following on from CCR's attempts on C5 8pm to tart up a Mini).RJ
88536,pigtin,"Mon Oct 29, 2012 5:45 pm","Watched it, hated it, sent a complaint to C5 and erased it from my record list. An hour of my life wasted watching dumbed-down garbage."
88538,welshrover,"Mon Oct 29, 2012 6:17 pm","there was a piece in classic car weekly about it last week, the mgb one.  about there bieng two cars doesnt look like ccw think much of it either."
88649,colwyn500,"Wed Oct 31, 2012 9:56 pm","I thought that this week's episode about a Mini was the least worst I have seen.  Oh no, I'm not starting to enjoy it am I...smash the telly!"
88682,welder,"Thu Nov 01, 2012 9:00 pm","That silly ""pretend"" fire made me laugh, especially when I noted that the guy was supposedly cutting the floor out. With a welding torch instead of a cutting nozzle.Utter tripe.Ian"
88684,colwyn500,"Thu Nov 01, 2012 9:29 pm","That silly ""pretend"" fire made me laugh, especially when I noted that the guy was supposedly cutting the floor out. With a welding torch instead of a cutting nozzle.Utter tripe.Ian"
108845,MikeEdwards,"Tue Oct 22, 2013 11:30 am",Hurrah! There's a second series of this coming next year.
108849,Rick,"Tue Oct 22, 2013 12:59 pm",I can hardly contain myself RJ
108858,baconsdozen,"Tue Oct 22, 2013 5:20 pm","I watched one of these,it was about the bodging of an old E-type. The commentary was ludicrous,apparently the e-type was dangerous to drive because of its long wheel base!.Total drivel. I turned off and haven't seen anymore. The producers could take the film crew round any car museum for a half hour and make a far more watchable program,and they wouldn't need that couple of clowns in the background either.Edit.....I've just realised how old this thread is and I've posted before,surely to God they are not repeating this tripe. It must be even worse second time around."
115879,MikeEdwards,"Mon Apr 14, 2014 12:58 pm","Tonight the new series starts off with them ruining a Porsche 928GT. Other vehicles to get the ""treatment"" in this series include a VW Camper, Ferrari Mondial, Corvette, and some others I've forgotten now. Piece in the C5 advertiser, sorry Daily Express, today gives away the purchase price, cost to bodge and final valuations for all of them."
115885,Rick,"Mon Apr 14, 2014 1:53 pm","Hopefully the producers have learnt from the mountain of flak they received after Series One, however I doubt it R"
115919,Rick,"Tue Apr 15, 2014 7:12 am","So did anyone here watch it? IMO it was ok to have on in the background while I was reading, but it wasn't exactly un-missable TV which - in theory - a series like this should be RJ"
115925,baconsdozen,"Tue Apr 15, 2014 8:28 am","I didn't bother. On the last program I saw involving a classic car on this channel, they invited Frankie Fraser round for his 'expert' comments about a gangster car. Bug eyed Bernie was (according to him) also somehow involved on the fringes of Londons underworld and hinted at 'dark secrets' Dream on baby.The programs are an insult to peoples intelligence. Total,complete and utter unmitigated drivel.For people who know what they're doing you can't beat people like Tommy Walsh or Ed China,for engaging his audience and combining entertainment with presenting Fred Dibnah took some beating too."
115929,D4B,"Tue Apr 15, 2014 9:01 am",Agreed ~ fantastic
115933,kevin2306,"Tue Apr 15, 2014 9:42 am","Fred was so enthusiastic, met him socially a few times through a vintage show i was involved with, he also knew how to charge for personal appearences  I really avoid and program that bernie is on and only watch ed's lot until the final scenes when the 'buyer' turns up to do the deal.Kev"
115938,MikeEdwards,"Tue Apr 15, 2014 10:33 am","I saw bits of it - I was trying to clear some space off my recorder by watching stuff, so I was switching between this and ""No country for old men"", which is a reasonable film but a rubbish ending. The usual rubbish - they go to see a car that's clearly a breaker, offer £1000 when the bloke is asking £2000, then have to go elsewhere to get a different one. Then come back later and give £250 for just the front seats. Then in the ""history"" bits where they tell us all about the car, it's illustrated with loads of film clips ... of 968s and 944s along with 928s."
116194,MikeEdwards,"Tue Apr 22, 2014 10:40 am","I hope you guys on here that are restoring Fiat 500s watched last night's programme and are now reflecting on whether you should re-do any of your work to match Mawio and teams efforts.  (I didn't watch the show, managed to resist it completely this week)."
116195,baconsdozen,"Tue Apr 22, 2014 11:18 am",I know filler heats up as it sets and judging by the amounts they use I wonder if we've now found the reason for global warming.
116197,colwyn500,"Tue Apr 22, 2014 12:16 pm","Complete numpties.  It took a whole workshop of them to put the seat-sliders on the rails; I don't even think that was one of their fake items of jeopardy., they had just bent them with their extremely coarse handling.I suspect that their car could probably now do with a restoration.On second thoughts, a bit harsh, it had a nice interior and someone is going to get a few years out of it before it starts playing up."
